"","file","num_targets"
"1","S051_1.txt",3
"2","S051_10.txt",4
"3","S051_100.txt",2
"4","S051_101.txt",3
"5","S051_102.txt",3
"6","S051_103.txt",3
"7","S051_104.txt",3
"8","S051_105.txt",1
"9","S051_106.txt",4
"10","S051_107.txt",4
"11","S051_108.txt",2
"12","S051_109.txt",3
"13","S051_11.txt",2
"14","S051_110.txt",3
"15","S051_111.txt",4
"16","S051_112.txt",3
"17","S051_113.txt",4
"18","S051_114.txt",2
"19","S051_115.txt",3
"20","S051_12.txt",4
"21","S051_13.txt",3
"22","S051_14.txt",3
"23","S051_15.txt",2
"24","S051_16.txt",4
"25","S051_17.txt",3
"26","S051_18.txt",3
"27","S051_19.txt",4
"28","S051_2.txt",2
"29","S051_20.txt",4
"30","S051_21.txt",4
"31","S051_22.txt",3
"32","S051_23.txt",3
"33","S051_24.txt",3
"34","S051_25.txt",4
"35","S051_26.txt",4
"36","S051_27.txt",4
"37","S051_28.txt",3
"38","S051_29.txt",4
"39","S051_3.txt",1
"40","S051_30.txt",4
"41","S051_31.txt",3
"42","S051_32.txt",4
"43","S051_33.txt",4
"44","S051_34.txt",4
"45","S051_35.txt",4
"46","S051_36.txt",4
"47","S051_37.txt",3
"48","S051_38.txt",2
"49","S051_39.txt",3
"50","S051_4.txt",3
"51","S051_40.txt",2
"52","S051_41.txt",3
"53","S051_42.txt",3
"54","S051_43.txt",3
"55","S051_44.txt",1
"56","S051_45.txt",2
"57","S051_46.txt",4
"58","S051_47.txt",3
"59","S051_48.txt",3
"60","S051_49.txt",4
"61","S051_5.txt",3
"62","S051_50.txt",3
"63","S051_51.txt",3
"64","S051_52.txt",4
"65","S051_53.txt",4
"66","S051_54.txt",2
"67","S051_55.txt",4
"68","S051_56.txt",4
"69","S051_57.txt",3
"70","S051_58.txt",4
"71","S051_59.txt",3
"72","S051_6.txt",3
"73","S051_60.txt",4
"74","S051_61.txt",3
"75","S051_62.txt",3
"76","S051_63.txt",3
"77","S051_64.txt",4
"78","S051_65.txt",4
"79","S051_66.txt",2
"80","S051_67.txt",4
"81","S051_68.txt",4
"82","S051_69.txt",4
"83","S051_7.txt",3
"84","S051_70.txt",3
"85","S051_71.txt",2
"86","S051_72.txt",4
"87","S051_73.txt",2
"88","S051_74.txt",3
"89","S051_75.txt",3
"90","S051_76.txt",3
"91","S051_77.txt",3
"92","S051_78.txt",4
"93","S051_79.txt",2
"94","S051_8.txt",4
"95","S051_80.txt",2
"96","S051_81.txt",4
"97","S051_82.txt",1
"98","S051_83.txt",3
"99","S051_84.txt",2
"100","S051_85.txt",3
"101","S051_86.txt",2
"102","S051_87.txt",2
"103","S051_88.txt",4
"104","S051_89.txt",4
"105","S051_9.txt",3
"106","S051_90.txt",4
"107","S051_91.txt",4
"108","S051_92.txt",3
"109","S051_93.txt",3
"110","S051_94.txt",3
"111","S051_95.txt",1
"112","S051_96.txt",3
"113","S051_97.txt",2
"114","S051_98.txt",4
"115","S051_99.txt",2
